match_id;Home_team;Away_team;games;date
1;The Rings;The Oligarcs;1,2,3,4,5,6,7;16.11.2022
2;The ligthings;The Rings;8,9,10,11,12,13,14;16.11.2022
3;The Brahms;The ligthings;15,16,17,18,19,20,21;23.11.2022
4;The ligthings;The Cesars;22,23,24,25,26,27,28;23.11.2022
5;The ligthings;The Oligarcs;29,30,31,32,33,34,35;23.11.2022
6;The Oligarcs;The Rings;36,37,38,39,40,41,42;03.11.2022
7;The Oligarcs;The ligthings;43,44,45,46,47,48,49;03.11.2022
8;The Brahms;The Oligarcs;50,51,52,53,54,55,56;03.11.2022
9;The Oligarcs;The Brahms;57,58,59,60,61,62,63;03.11.2022
10;The Brahms;The ligthings;64,65,66,67,68,69,70;11.12.2023
